...1,name,category,review.point,price,currency,description,log_price,ABV,Age_of_Whisky,Distillery,Location,Region,Founded,Owner,Age_of_Distillery
742,"exclusive malts 2002 (distilled at miltonduff) 14 year old, 54.1%",Single Malt Scotch,89,140,$,"The initial nose is herbaceous, with green apples, then brittle toffee. Developing Juicy Fruit gum flavors. The palate is straightforward, but full and pleasing, featuring pineapple, fudge, vanilla, and almonds. The finish is medium in length, nutty, with a hint of black pepper. (Cask no. 263; 176 bottles)",4.941642422609304,54.1,14,miltonduff,Elgin,Speyside,1824,Chivas Brothers,200
1060,"glendronach cask strength (batch 5), 55.3%",Single Malt Scotch,87,72,$,"This batch of GlenDronach’s popular cask strength has been aged in a combination of oloroso and Pedro Ximenez sherry casks. Malt, honey, rose blossom, and chocolate-coated Turkish Delight, plus emerging vanilla on the nose. The palate is full and rounded, very sweet, with more milk chocolate and very gentle spice. The finish is lengthy, with milky coffee, sweet spices, and subtle oak.",4.276666119016055,55.3,NA,glendronach,Aberdeenshire,Highland,1826,Brown-Forman,198
70,"lagavulin 12 year old (diageo special releases 2017), 56.5%",Single Malt Scotch,94,130,$,"This is the 15th Special Releases bottling of Lagavulin 12 year old. Matured in refill American oak hogsheads. The nose is smoky, with kippers, charcuterie, and bonfire embers, offset by berry fruits. On the unctuous palate, smoke blends with vanilla, green apples, and licorice, plus pepper and sea salt. Peppery, ashy peat in the lengthy finish. (Individual reviewer rating: 91)",4.867534450455582,56.5,12,lagavulin,Port Ellen,Islay,1816,Diageo,208
724,"teaninich 17 year old (diageo special releases 2017), 55.9%",Single Malt Scotch,89,310,$,"Distilled in 1999, this single malt was aged in refill American oak hogsheads and refill American oak barrels. Pineapple and walnuts figure on the early nose, which becomes more floral, ultimately offering violets. The palate is full and fruity, majoring in peaches in syrup, with new-mown hay and white pepper. Nicely balanced and rounded, with buttery notes emerging. The finish dries slowly, with subtle licorice.",5.736572297479192,55.9,17,teaninich,Alness,Highland,1817,Diageo,207
422,"a. d. rattray (distilled at bowmore), 18 year old (cask #2075), 53.5%",Single Malt Scotch,90,100,$,"The fruit (orange marmalade, tangerine, fresh pineapple) is nearly as dominant as the leafy smoke. Sweet notes of nutty caramel, honeyed barley, toffee, and nougat round out the palate. Ginger, cinnamon, telicherry pepper, tobacco, and ash play a supporting role. Lingering fruity, smoky finish. For those who like sherried Islay whiskies.",4.605170185988092,53.5,18,bowmore,Bowmore,Islay,1779,Beam Suntory,245
671,"a.d. rattray (distilled at highland park) 19 year old 1992, 48.8%",Single Malt Scotch,89,120,$,"Many of the independent  H.P. bottlings are aged in bourbon casks, and, like this one, exhibit creamy vanilla, honeyed malt, and citrus. I’m also picking up some more subtle heather, brine, coconut, and nougat. This one is clean on the palate and shows nice balance, with enough dry oak on the finish to counter the whisky’s sweeter notes. (A D&M Wines & Liquors exclusive.)",4.787491742782046,48.8,19,highland park,Kirkwall,Island,1798,Edrington,226
1556,"“double malt” speyside (second edition), 46%",Blended Malt Scotch Whisky,85,70,$,"This “double malt” contains 70% 12 year old Dufftown (finished in a Zinfandel cask) and 30% 15 year old Mortlach (finished in a Callejo cask). This is a rich, fruity, gripping, broad-shouldered Speyside whisky. Richly sherried, with thick, layered sweetness as a foundation (honey, caramel, light toffee), along with ripe bramble, golden raisin, and pit fruit. Leather, tobacco-tinged, oak tannin finish.",4.248495242049359,46,NA,speyside,Drumguish,Speyside,1990,Harvey's of Edinburgh Ltd.,34
44,"aberfeldy 14 year old single cask, 58.1%",Single Malt Scotch,94,181,$,"Single cask Aberfeldy bottlings are very few and far between, and this is a stunner! After hogshead maturation the whisky ultimately underwent a period of finishing in an ex-sherry cask prior to bottling. The nose offers sultanas, raisins, and hot chocolate. Developing vanilla and a hint of over-ripe bananas. Finally, burnt sugar and caramel. Insinuating and syrupy on the palate, with apricots, dried fruits, honey, and sherry. Gently spicy and warming, with licorice in the notably long finish. £115",5.198497031265826,58.1,14,aberfeldy,Aberfeldy,Highland,1896,Bacardi,128
1616,"aberfeldy 16 year old, 40%",Single Malt Scotch,84,90,$,"Aberfeldy distillery has added a 16 year old expression to its core range, positioned between the existing 12 and 21 year old variants. This newcomer has been finished in oloroso sherry casks, and the result is a pleasing if undemanding dram with a fresh, sweet, sherried nose, featuring orange, honey, and ginger. Smooth on the palate, with more oranges, marzipan, then milk chocolate and gentle spices. Nutty spice, increasingly bitter orange, and dark chocolate in the finish. £62",4.499809670330265,40,16,aberfeldy,Aberfeldy,Highland,1896,Bacardi,128
1199,"aberfeldy 18 year old, 40%",Single Malt Scotch,86,130,$,"This expression of Aberfeldy fits between the core 12 and 21 year old bottlings, but is exclusively available in Travel Retail outlets. The nose opens with a slightly savory note, rich and spicy, with sherry, Jaffa oranges, and sweet oak. The palate is smooth and rounded, with malt, nutty spice, honey, and milky coffee. The finish is lengthy, with Seville oranges, plain chocolate, dark sherry notes, and licorice. (Travel Retail only) Price is per liter.",4.867534450455582,40,18,aberfeldy,Aberfeldy,Highland,1896,Bacardi,128
