
<TABLE>

            Table Showing Ecclesiastical State, &c. of Parishes in the County of Shetland.

|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------| C
|            |          |      Ecclesiastical       State.                               |    Parochial Schoolmasters'Emolums.        | Savings' Banks.           | Annual Amount of Contributions to the Poor.     | O
|            |Population|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------| U
|            |in 1891   |Fams be-   |Individuals|Families of|Individuals| Amount of      |Schools |           |           |           |      |Amount   |Amount    | From as-  |           |           |             | N
|Parishes    |          |longing to |Do.  Do.   |Dissenters |Do.  Do.   |Parochial Mi-   |  in    |  Salary.  |   Fees.   |   Total.  |Number| yearly  | yearly   |sessment or| From      |From Alms, |    Total.   | T
|            |          |Estab. Ch. |           |or Seceders|           |nisters' stipend| Par.   |           |           |           |      |invested.|withdrawn.| voluntary |Church col-| Legacies, |             | Y
|            |          |           |           |           |           |                |        |           |           |           |      |         |          |contrib. by| lections. |Mortcloths,|             |
|            |          |           |           |           |           |                |        |           |           |           |      |         |          |Heritors.  |           |   &c.     |             | O
|------------|----------|-----------|-----------|-----------|-----------|----------------|--------|-----------|-----------|-----------|------|---------|----------|-----------|-----------|-----------|-------------| F
|            |          |           |           |           |           |                |        |           |           |           |      |         |          |           |           |           |             |
|Lerwick,    | 3194     |    598    |    ...    |   187     |   ...     |     L. 150     |   4    |  L.34  4 8|  L-30 0  0|L-64   4  8|  1   |  ...    | L. 13    | L.28 0 0  | L.74  0 0 | L.10  0 0 | |L. 116 18 0| S
|Bressay,    | 1699     |    ...    |   1670    |   ...     |    25     |        150     |   3    |    25 13 0|     ...   |   ...     | ...  |  ...    |  ...     |   ...     |   21 11 0 |   11 17 0 |       ...   | H
|Walls,      | 2913     |    ...    |   2000    |   ...     |   331     |        150     |   4    |    25 13 0|     5 0  0|   30 13  0| ...  |  ...    |  ...     |   ...     |   10  0 0 |     ...   |       ...   | E
|Fetlar and  | 1678     |    ...    |   1643    |   ...     |    35     |        180     |   5    |    25  0 0|     8 0  0|   33  0  0| ...  |  ...    |  ...     |   ...     |    8 17 8 |     ...   |       ...   | T
| North Yell,|          |           |           |           |           |                |        |           |           |           |      |         |          |           |           |           |             | L
|Unst,       | 2909     |    487    |    ...    |   ...     |    40     |        249     |   2    |    34  4 8|     6 0  0|   40  0  0| ...  |  ...    |  ...     |   ...     |   30  0 0 |     ...   |       ...   | A
|Nesting,    | 2109     |    ...    |   2070    |   ...     |    30     |        150     |   3    |    25  0 0|     2 0  0|   27  0  0| ...  |  ...    |  ...     |   ...     |   14  2 0 |     1  8 0|       ...   | N
|Delting,    | 2070     |    374    |    ...    |    20     |   ...     |       150      |   4    |    25 13 0|     3 0  0|   28 13  0| ...  |  ...    |  ...     |   ...     |   15 17 9 |     ...   |       ...   | D
|Tingwall,   | 2797     |    ...    |    ...    |   ...     |   ...     |        254,&c. |   5    |    26  0 0|     8 0  0|   34  0  0| ...  |  ...    |  ...     |   ...     |   22  2 9 |     ...   |       ...   |
|Northmaving,| 2500     |    350    |    ...    |   ...     |   100     |        150     |   5    |    25  3 0|     4 0  0|   29  3  0| ...  |  ...    |  ...     |   ...     |    8  0 0 |     ...   |      24  0 0|
|Mid and     | 1812     |    ...    |    179    |   ...     |    58     |        150     |   1    |    26  0 0|     5 0  0|   31  0  0| ...  |  ...    |  ...     |   ...     |      ...  |     ...   |      10  0 0|
| South Yell,|          |           |           |           |           |                |        |           |           |           |      |         |          |           |           |           |             |
|Dunrossness,| 4405     |    ...    |    ...    |   ...     |   ...     |        200     |   3    |      ...  |     ...   |    ...    | ...  |  ...    |  ...     |   ...     |   10 14 11|     ...   |       ...   |
|Sandating,  | 2177     |    ...    |   2077    |   ...     |   100     |        150     |   9   2|    26  0 0|     I 10 0|   27 10  0| ...  |  ...    |  ...     |   ...     |   10  0  0|     ...   |       10 0 0|
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|



