Distillery,Location,Region,Founded,Owner
Aberargie,Aberargie,Lowland,2017,Perth Distilling Co
Aberfeldy,Aberfeldy,Highland,1896,Bacardi
Aberlour,Aberlour,Speyside,1879,Chivas Brothers
Abhainn Dearg,"Uig, Isle of Lewis",Island,2008,Independent
Ailsa Bay,Girvan,Lowland,2009,William Grant & Sons
Allt-A-Bhainne,Glenrinnes,Speyside,1975,Chivas Brothers
Annandale,Annan,Lowland,1836,Annandale Distillery Company
Arbikie,Inverkeilor,Highland,2013,Independent
Ardbeg,Port Ellen,Islay,1815,LVMH
Ardmore,Kennethmont,Highland,1898,Beam Suntory
Ardnahoe,Port Askaig,Islay,2019,Hunter Laing & Co Ltd
Ardnamurchan,Ardnamurchan,Highland,2014,Adelphi Whisky
Ardross,Alness,Highland,2019,Greenwood Distillers
Arran,Lochranza,Island,1995,Isle of Arran Distillers Ltd.
Auchentoshan,Dalmuir,Lowland,1823,Beam Suntory
Auchroisk,Mulben,Speyside,1972,Diageo
Aultmore,Banffshire,Speyside,1895,Bacardi
Balblair,Edderton,Highland,1790,Inver House Distillers
Ballindalloch,Ballindalloch,Speyside,2014,Independent
Balmenach,Cromdale,Speyside,1824,Inver House Distillers
Balvenie,Dufftown,Speyside,1892,William Grant & Sons
Ben Nevis,Fort William,Highland,1825,Nikka Whisky Distilling Co Ltd
BenRiach,Morayshire,Speyside,1898,Brown-Forman
Benrinnes,Banffshire,Speyside,1826,Diageo
Benromach,Forres,Speyside,1898,Gordon & MacPhail
Bladnoch,Wigtown,Lowland,1817,David Prior
Blair Athol,Pitlochry,Highland,1798,Diageo
Bonnington,Edinburgh,Lowland,2019,John Crabbie & Co
Borders,Hawick,Lowland,2018,The Three Stills Company
Bowmore,Bowmore,Islay,1779,Beam Suntory
Braeval,Ballindalloch,Speyside,1973,Chivas Brothers
Brora,Brora,Highland,1819,Diageo
Bruichladdich,Rhinns of Islay,Islay,1881,Rémy Cointreau
Bunnahabhain,Port Askaig,Islay,1881,Distell
Burn O'Bennie,Banchory,Highland,2021,Deeside Brewery & Distillery Ltd.
Cairn,Grantown-on-Spey,Speyside,2022,Gordon & MacPhail
Caol Ila,Port Askaig,Islay,1846,Diageo
Cardhu,Knockando,Speyside,1824,Diageo
Clydeside,Glasgow,Lowland,2017,Morrison Glasgow Distillers
Clynelish,Brora,Highland,1967,Diageo
Crafty,Galloway,Lowland,2017,Independent
Cragganmore,Ballindalloch,Speyside,1869,Diageo
Craigellachie,Craigellachie,Speyside,1891,Bacardi
Daftmill,Fife,Lowland,2005,Independent
Dailuaine,Aberlour,Speyside,1852,Diageo
Dalmore,Alness,Highland,1839,Whyte & Mackay
Dalmunach,Carron,Speyside,2015,Chivas Brothers
Dalwhinnie,Dalwhinnie,Highland,1898,Diageo
Deanston,Doune,Highland,1965,Distell
Dornoch,Dornoch,Highland,2016,Independent
Dufftown,Banffshire,Speyside,1895,Diageo
Dunphail,Morayshire,Speyside,2023,Bimber
Eden Mill,Fife,Lowland,2012,Independent
Edradour,Pitlochry,Highland,1825,Signatory Vintage Scotch Whisky Co
Falkirk,Falkirk,Lowland,2020,Independent
Fettercairn,Fettercairn,Highland,1824,Whyte & Mackay
Glasgow,Glasgow,Lowland,2015,Independent
Glenallachie,Banffshire,Speyside,1967,The GlenAllachie Distillers Co Limited
Glenburgie,Morayshire,Speyside,1810,Chivas Brothers
